ANES70Q,Critical Illness: Patients; Physicians; and Society,UG,MED,Satisfactory/No Credit
ANES72Q,The Art of Medical Diagnosis: Enhancing Observational Skills through the Study of Art,UG,MED,Letter or Credit/No Credit
ANES80Q,Researching Strange Things,UG,MED,Letter or Credit/No Credit
ANES199,Undergraduate Research,UG,MED,Letter or Credit/No Credit
ANES202,Anesthesiology and Pathophysiologic Implications for the Perioperative Patient,MED,MED,Medical School MD Grades
ANES203,Evaluating New Health Care Ventures: An Everyone Included¿ Approach,MED,MED,Medical Option (Med-Ltr-CR/NC)
ANES204,Medical Education in the New Millenium: Innovation and Digital Disruption,GR,MED,Medical Option (Med-Ltr-CR/NC)
ANES205,Engage and Empower Me: Myths and Truths of Designing for Patient Behavior,GR,MED,Medical Option (Med-Ltr-CR/NC)
ANES206,3D Printing and Biofabrication,GR,MED,Medical Option (Med-Ltr-CR/NC)
ANES207,Medical Acupuncture,MED,MED,Medical Satisfactory/No Credit
ANES208A,Data Science for Digital Health and Precision Medicine,GR,MED,Medical Option (Med-Ltr-CR/NC)
ANES215,Journal Club for Neuroscience; Behavior and Cognition Scholarly Concentration,MED,MED,Medical School MD Grades
ANES243,Introduction to Integrative Medicine (FAMMED 243),MED,MED,Medical School MD Grades
ANES280,Early Clinical Experience in Anesthesia,MED,MED,Medical School MD Grades
ANES299,Directed Reading in Anesthesiology,MED,MED,Medical School MD Grades
ANES370,Medical Scholars Research,MED,MED,Medical School MD Grades
ANES399,Graduate Research,GR,MED,Medical Satisfactory/No Credit
BIOC109A,The Human Genome and Disease (BIO 109A; BIOC 209A; HUMBIO 158),UG,MED,Letter or Credit/No Credit
BIOC109B,The Human Genome and Disease: Genetic Diversity and Personalized Medicine (BIO 109B),UG,MED,Letter or Credit/No Credit
BIOC199,Undergraduate Research,UG,MED,Letter or Credit/No Credit
BIOC200,Applied Biochemistry,MED,MED,Medical School MD Grades
BIOC202,Biochemistry Bootcamp,GR,MED,Satisfactory/No Credit
BIOC205,Molecular Foundations of Medicine,MED,MED,Medical School MD Grades
BIOC209A,The Human Genome and Disease (BIO 109A; BIOC 109A; HUMBIO 158),GR,MED,Letter or Credit/No Credit
BIOC215,Frontiers in Biological Research (DBIO 215; GENE 215),GR,MED,Medical Satisfactory/No Credit
BIOC221,The Teaching of Biochemistry,GR,MED,Medical Satisfactory/No Credit
BIOC224,Advanced Cell Biology (BIO 214; MCP 221),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOC236,Biology by the Numbers (APPPHYS 236),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOC241,Biological Macromolecules (BIOE 241; BIOPHYS 241; SBIO 241),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOC257,Currents in Biochemistry,GR,MED,Medical Satisfactory/No Credit
BIOC299,Directed Reading in Biochemistry,GR,MED,Medical Satisfactory/No Credit
BIOC350,Development of Thesis Research,GR,MED,Satisfactory/No Credit
BIOC360,Developing an Original Research Proposal,GR,MED,Medical Satisfactory/No Credit
BIOC370,Medical Scholars Research,MED,MED,Medical School MD Grades
BIOC399,Graduate Research and Special Advanced Work,GR,MED,Medical Satisfactory/No Credit
BIOC459,Frontiers in Interdisciplinary Biosciences (BIO 459; BIOE 459; CHEM 459; CHEMENG 459; PSYCH 459),GR,MED,Medical Satisfactory/No Credit
BIOC801,TGR Project,GR,MED,TGR
BIOC802,TGR Dissertation,GR,MED,TGR
BIODS210,Configuration of the US Healthcare System and the Application of Big Data/Analytics,GR,MED,Medical Satisfactory/No Credit
BIODS215,Topics in Biomedical Data Science: Large-scale inference,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIODS231,Survival Analysis (STATS 331),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIODS237,Deep Learning in Genomics and Biomedicine (BIOMEDIN 273B; CS 273B; GENE 236),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIODS260A,Workshop in Biostatistics (STATS 260A),GR,MED,Medical Satisfactory/No Credit
BIODS260B,Workshop in Biostatistics (STATS 260B),GR,MED,Medical Satisfactory/No Credit
BIODS260C,Workshop in Biostatistics (STATS 260C),GR,MED,Medical Satisfactory/No Credit
BIODS299,Directed Reading and Research,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN156,Economics of Health and Medical Care (BIOMEDIN 256; ECON 126; HRP 256),UG,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN200,Biomedical Informatics Colloquium,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN201,Biomedical Informatics Student Seminar,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN205,Precision Practice with Big Data,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN206,Informatics in Industry,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN207,Digital Medicine: How health IT is changing the practice of medicine,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN208,Clinical Informatics Literature Review Seminar,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN210,Modeling Biomedical Systems: Ontology; Terminology; Problem Solving (CS 270),GR,MED,Letter or Credit/No Credit
BIOMEDIN212,Introduction to Biomedical Informatics Research Methodology (BIOE 212; CS 272; GENE 212),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN214,Representations and Algorithms for Computational Molecular Biology (BIOE 214; CS 274; GENE 214),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN215,Data Driven Medicine,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN216,Representations and Algorithms for Molecular Biology: Lectures,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN217,Translational Bioinformatics (BIOE 217; CS 275),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN218,Translational Bioinformatics Lectures,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN219,Mathematical Models and Medical Decisions,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN224,Principles of Pharmacogenomics (GENE 224),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN225,Data Driven Medicine: Lectures,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN227SI,Computational Methods for the Modern Biologist,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN233,Intermediate Biostatistics: Analysis of Discrete Data (HRP 261; STATS 261),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN245,Statistical and Machine Learning Methods for Genomics (BIO 268; CS 373; GENE 245; STATS 345),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN251,Outcomes Analysis (HRP 252; MED 252),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN256,Economics of Health and Medical Care (BIOMEDIN 156; ECON 126; HRP 256),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN260,Computational Methods for Biomedical Image Analysis and Interpretation (RAD 260),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN273A,A Computational Tour of the Human Genome (CS 273A; DBIO 273A),GR,MED,Letter or Credit/No Credit
BIOMEDIN273B,Deep Learning in Genomics and Biomedicine (BIODS 237; CS 273B; GENE 236),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN279,Computational Biology: Structure and Organization of Biomolecules and Cells (BIOE 279; BIOPHYS 279; CME 279; CS 279),GR,MED,Letter or Credit/No Credit
BIOMEDIN290,Biomedical Informatics Teaching Methods,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN299,Directed Reading and Research,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN370,Medical Scholars Research,MED,MED,Medical School MD Grades
BIOMEDIN371,Computational Biology in Four Dimensions (BIOPHYS 371; CME 371; CS 371),GR,MED,Letter or Credit/No Credit
BIOMEDIN390A,Curricular Practical Training,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN390B,Curricular Practical Training,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN390C,Curricular Practical Training,GR,MED,Medical Satisfactory/No Credit
BIOMEDIN432,Analysis of Costs; Risks; and Benefits of Health Care (HRP 392),GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOMEDIN801,TGR Master's Project,GR,MED,TGR
BIOMEDIN802,TGR PhD Dissertation,GR,MED,TGR
BIOS200,Foundations in Experimental Biology,GR,MED,Satisfactory/No Credit
BIOS201,Next Generation Sequencing and Applications,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS202,Hippocampal Field Potentials; an Introduction to CNS in Vitro Electrophysiology,GR,MED,Letter or Credit/No Credit
BIOS203,Introduction to Atomistic Simulations for Biochemical Applications,GR,MED,Letter or Credit/No Credit
BIOS204,Practical Tutorial on the Modeling of Signal Transduction Motifs,GR,MED,Medical Satisfactory/No Credit
BIOS205,Introduction to R,GR,MED,Medical Satisfactory/No Credit
BIOS206,Stem Cells and Regeneration:  Transitioning from Basic Research to Clinical Therapies,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS207,Interdisciplinary Approaches to Biochemistry: Single Molecule Biophysics to Clinical Outcomes,GR,MED,Medical Satisfactory/No Credit
BIOS208,Computational Macromolecule Structure Modeling,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS209,Practical Protein NMR Structure Determination,GR,MED,Letter or Credit/No Credit
BIOS210,Axonal Transport and Neurodegenerative Diseases,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS211,Histology for Biosciences,GR,MED,Medical Satisfactory/No Credit
BIOS212,Plant Genetics: Large Scale Experiments and Clonal Analysis,GR,MED,Letter or Credit/No Credit
BIOS213,Scientific Illustration and Animation,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS214,Molecules & Math,GR,MED,Letter or Credit/No Credit
BIOS215,Transplantation Immunology and Tolerance,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS216,Structural Biology and Vaccine Design,GR,MED,Satisfactory/No Credit
BIOS217,The Ultimate Face Book: Understanding Normal and Abnormal Craniofacial Development,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS218,Molecular basis of membrane traffic,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS219,Human Gene Regulation: Genomic Thinking and Genomic Tools for Experimentalists,GR,MED,Letter or Credit/No Credit
BIOS220,Adventures in the Human Virosphere,GR,MED,Satisfactory/No Credit
BIOS221,Modern Statistics for Modern Biology (STATS 366),GR,MED,Letter or Credit/No Credit
BIOS222,Authentic Courage for Constructive Change: Skills and Practice for Leadership,GR,MED,Medical Satisfactory/No Credit
BIOS223,Introduction to Quantitative Reasoning in Biology,GR,MED,Medical Satisfactory/No Credit
BIOS224,Big Topics in Stem Cell Ethics,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS225,Diversity and Inclusion in Science,GR,MED,Medical Satisfactory/No Credit
BIOS226,Introduction to Force Spectroscopy,GR,MED,Letter or Credit/No Credit
BIOS227,Mass Spectrometry and Proteomics: Opening the Black Box,GR,MED,Satisfactory/No Credit
BIOS228,Understanding Chemistry in Biology and Biological Experiments,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS229,Drug Discovery and Development Project Simulation,GR,MED,Credit/No Credit
BIOS230,Biomedical Data Analysis in MATLAB,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS231,Neuroimaging Genomics,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS232,Two-photon Imaging of Neural Circuits,GR,MED,Medical Satisfactory/No Credit
BIOS233,Experimental Metagenomics: Nectar Microbes as a Model System,GR,MED,Letter (ABCD/NP)
BIOS234,Personalized Genomic Medicine,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS235,Metabolism and Metabolic Ecology: Microbes; Gut and Cancer,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS236,Developmental Biology in the Ocean: Comparative Embryology and Larval Development,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS237,Investigating Biology with Fluorescent Proteins,GR,MED,Medical Option (Med-Ltr-CR/NC)
BIOS238,Quantitative single cell analysis of live cell images,GR,MED,Satisfactory/No Credit
BIOS239,Synapse Development,GR,MED,Medical Satisfactory/No Credit
BIOS240,Cellular Metabolism: An Emerging Hallmark of Cancer and Aging,GR,MED,Medical Satisfactory/No Credit
